2020-05-12 08:46:46 [53411068 [Thread-11] INFO  o.s.s.c.ThreadPoolTaskExecutor:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-12 08:46:46 [53411073 [Thread-11] INFO  c.a.druid.pool.DruidDataSource:1948 - {dataSource-1} closing ...
2020-05-12 08:46:46 [53411075 [Thread-11] INFO  c.a.druid.pool.DruidDataSource:2020 - {dataSource-1} closed
2020-05-12 08:46:46 [53411075 [Thread-11] INFO  wb.im.core.server.WbWebNettyServer:42 - WEB消息服务开始关闭(1112)
2020-05-12 08:46:46 [53411077 [Thread-11] INFO  wb.im.core.server.WbNettyServer:42 - 消息服务开始关闭(1111)
2020-05-12 08:46:54 [1786 [main] INFO  wb.im.control.App:50 - Starting App on AQH5Q7JUUOCEZG5 with PID 257648 (F:\battleSpace\im-platform\im-control\im-stage\target\classes started by Administrator in F:\battleSpace\im-platform)
2020-05-12 08:46:54 [1789 [main] INFO  wb.im.control.App:650 - The following profiles are active: dev
2020-05-12 08:46:56 [3635 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer:90 - Tomcat initialized with port(s): 9800 (http)
2020-05-12 08:46:56 [3650 [main] INFO  o.a.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-9800"]
2020-05-12 08:46:56 [3659 [main] INFO  o.a.catalina.core.StandardService:173 - Starting service [Tomcat]
2020-05-12 08:46:56 [3659 [main] INFO  o.a.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.21]
2020-05-12 08:46:56 [3780 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2020-05-12 08:46:56 [3780 [main] INFO  o.s.web.context.ContextLoader:283 - Root WebApplicationContext: initialization completed in 1282 ms
2020-05-12 08:46:56 [3905 [main] INFO  wb.im.core.server.WbNettyServer:35 - 消息服务开始启动（1111）
2020-05-12 08:46:56 [3908 [main] INFO  wb.im.core.server.WbWebNettyServer:35 - WEB消息服务开始启动（1112）
2020-05-12 08:46:56 [3955 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure:56 - Init DruidDataSource
2020-05-12 08:46:56 [4432 [main] INFO  c.a.druid.pool.DruidDataSource:1003 - {dataSource-1} inited
2020-05-12 08:46:57 [4884 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor:171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-12 08:46:57 [5158 [main] INFO  o.a.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-9800"]
2020-05-12 08:46:57 [5183 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer:202 - Tomcat started on port(s): 9800 (http) with context path ''
2020-05-12 08:46:57 [5187 [main] INFO  wb.im.control.App:59 - Started App in 5.025 seconds (JVM running for 6.268)
2020-05-12 08:46:57 [5189 [main] INFO  wb.im.control.App:17 - 消息系统服务端启动完成
2020-05-12 08:47:11 [19136 [http-nio-9800-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-12 08:47:11 [19137 [http-nio-9800-exec-1] INFO  o.s.web.servlet.DispatcherServlet:524 - Initializing Servlet 'dispatcherServlet'
2020-05-12 08:47:11 [19147 [http-nio-9800-exec-1] INFO  o.s.web.servlet.DispatcherServlet:546 - Completed initialization in 10 ms
2020-05-12 08:47:24 [32194 [nioEventLoopGroup-4-3] INFO  w.i.c.s.impl.WbLoginTokenService:51 - 用户已经加入聊天通道({"uniqueId":1,"userId":1})
2020-05-12 08:47:24 [32195 [nioEventLoopGroup-4-3] INFO  wb.im.core.cache.ChannelCache:73 - 用户加入(1)
2020-05-12 08:47:32 [40221 [nioEventLoopGroup-4-1] INFO  w.i.c.s.impl.WbLoginTokenService:51 - 用户已经加入聊天通道({"uniqueId":2,"userId":2})
2020-05-12 08:47:32 [40222 [nioEventLoopGroup-4-1] INFO  wb.im.core.cache.ChannelCache:73 - 用户加入(2)
2020-05-12 08:47:45 [53050 [nioEventLoopGroup-4-1] ERROR wb.im.core.adapter.WbMessageAdapter:53 - 适配器转发信息出错
2020-05-12 08:49:32 [160535 [Thread-10] INFO  o.s.s.c.ThreadPoolTaskExecutor:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-12 08:49:32 [160536 [Thread-10] INFO  c.a.druid.pool.DruidDataSource:1948 - {dataSource-1} closing ...
2020-05-12 08:49:32 [160556 [Thread-10] INFO  c.a.druid.pool.DruidDataSource:2020 - {dataSource-1} closed
2020-05-12 08:49:33 [160557 [Thread-10] INFO  wb.im.core.server.WbWebNettyServer:42 - WEB消息服务开始关闭(1112)
2020-05-12 08:49:33 [160559 [Thread-10] INFO  wb.im.core.server.WbNettyServer:42 - 消息服务开始关闭(1111)
2020-05-12 08:49:38 [787  [main] INFO  wb.im.control.App:50 - Starting App on AQH5Q7JUUOCEZG5 with PID 241468 (F:\battleSpace\im-platform\im-control\im-stage\target\classes started by Administrator in F:\battleSpace\im-platform)
2020-05-12 08:49:38 [791  [main] INFO  wb.im.control.App:650 - The following profiles are active: dev
2020-05-12 08:49:39 [2286 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer:90 - Tomcat initialized with port(s): 9800 (http)
2020-05-12 08:49:39 [2302 [main] INFO  o.a.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-9800"]
